"","Overall"
"`2__882313019`",32.9792611741827
"`3__909097892`",31.7455679595591
"`3__662329227`",32.3396225572243
"`7__369308229`",41.2919959562291
"`2__1298153164`",21.2767295410207
"`2__1298153130`",31.1596793632486
"`3__373959003`",29.6590978781871
"`2__1378263268`",44.8461200846463
"`5__18007419`",18.3708418507129
"`2__1302168141`",27.1682902938648
"`6__338500028`",27.7831590620178
"`6__422010626`",22.2725595219435
"`5__5912881`",42.332155485007
"`3__1186804362`",27.1329827527669
"`4__1425877017`",63.1047775420444
"`4__932423152`",23.0820244965607
"`4__932423221`",29.0487353072508
"`2__842492140`",29.1963456114797
"`6__421865857`",31.669813921944
"`5__112453191`",33.1496645316289
"`1__863617765`",19.8045229260638
"`1__147558672`",28.2445679669432
"`1__548608922`",28.7456842481892
"`4__362138418`",28.9515222312656
"`3__1186803454`",28.4329591946287
"`4__7244954`",80.9316773430636
"`4__1179347844`",18.7232275408383
"`1__1223950087`",38.3266975455338
"`4__484804089`",24.6001614540522
"`2__1298154077`",24.725363587204
"`4__1476284736`",28.1654626501476
"`1__1496518641`",21.7818808707397
"`6__345349020`",21.8234807089436
"`4__1179347617`",22.2696350323576
"`7__500724630`",29.9811404839989
"`6__500611799`",22.3303920086691
"`4__8534369`",41.1230176827426
"`4__384697898`",27.3042481411651
"`3__5393979`",26.354779183295
"`7__476450280`",25.0943083184116
"`4__1476284725`",43.0551532243167
"`3__1009530316`",35.6335656389274
"`4__561808809`",42.2436644322591
"`4__1164520237`",35.4743199851348
"`1__625141428`",54.148904460716
"`2__636121307`",49.8970836167974
"`2__1049144499`",33.7026278331539
"`2__1049144500`",25.1478873681712
"`5__238516771`",50.8111693788951
"`4__1435781378`",29.6948127848976
"`4__1325183080`",22.1487050452101
"`5__870606989`",21.9523690106847
"`7__1033449443`",26.8946838517002
"`2__1393396321`",29.3390504950141
"`2__938474674`",48.6134886832337
"`3__39985450`",36.8555085252867
"`1__625141410`",36.593657767297
"`6__338500073`",36.8320837466645
"`5__5921012`",18.8244883552117
"`3__1514364789`",22.7740682972243
"`3__1030942090`",26.6985558510783
"`7__500723264`",67.3805572909019
"`2__1049144520`",27.9704135501642
"`3__431894309`",41.5657086771505
"`4__9014610`",47.2149804500475
"`2__1049144391`",18.944072473038
"`2__1049144405`",31.5719665644991
"`4__357773610`",25.060434856942
"`7__500724719`",33.8863303069111
"`4__924061688`",50.060177347998
"`2__1306092726`",53.5837463024132
"`4__1476285571`",48.5651427104802
"`4__861910795`",32.0676352379553
"`3__380462759`",21.0965607249796
"`2__1712539815`",30.3557272663631
"`2__1712539855`",29.1446050643346
"`2__1712539891`",22.9714662513203
"`2__1712539865`",23.1169636433698
"`2__1712539873`",23.881398602211
"`3__1394777113`",25.9148120152273
"`3__711062249`",17.8334474340552
"`6__236296659`",30.443408255243
"`6__422010676`",31.0886860356128
"`4__583513188`",29.8149053572494
"`4__1181663165`",26.7603286448882
"`5__5912810`",24.6963689832409
"`1__89563282`",19.9956148957724
"`4__496720837`",17.7191987306704
"`7__792374563`",44.6323758960764
"`2__890289097`",5.08853522695745
"`2__964158706`",23.7333273043913
"`2__887818326`",28.4450405546119
"`6__436882580`",43.0132380411025
"`4__460679694`",26.7110677083199
"`2__965529700`",26.764293884921
"`4__1382473555`",27.6044934718659
"`4__1424765968`",26.8200601466864
"`3__380462631`",17.1426080320872
"`4__353338458`",37.1870195802261
"`4__1010387692`",35.7458875126006
"`3__1380424468`",56.1659900347801
"`5__249147639`",27.5923812705927
"`2__483579560`",28.7551673324046
"`4__1382475276`",26.0751529975491
