"","Overall"
"`5__1035569848`",9.79831901140603
"`4__594638034`",28.6811863587748
"`7__69187749`",11.2894958047769
"`3__563405533`",17.7264325143858
"`2__1803546287`",27.6561507851489
"`6__144441037`",10.2744111652677
"`6__19805736`",7.96305223254568
"`6__1160212537`",8.79206408734475
"`6__1328074657`",19.002989730986
"`1__567104005`",8.94908591175477
"`4__1146103205`",12.2739756628607
"`7__574516935`",14.2309273888466
"`4__609813609`",35.9165859495671
"`6__163631758`",9.0647406281286
"`6__1120642517`",4.41887205615728
"`7__1264447862`",48.3137351180963
"`4__1146103264`",14.5000952173759
"`2__1670464968`",19.2021472916629
"`2__184869263`",9.38859218833031
"`2__184869318`",8.68293072788107
"`5__214103909`",8.08882320613536
"`6__144440940`",1.63656753907643
"`6__1328074699`",14.6331380023557
"`6__1328074708`",9.16880815920276
"`6__1336594706`",12.5903200568532
"`2__739831531`",19.2558313414383
"`7__1358232069`",10.5789517205105
"`3__1638485080`",8.02900567456513
"`5__434525606`",28.7970519082213
"`5__434525634`",26.0793213997709
"`7__1358232109`",26.892286218314
"`7__1357790624`",26.3738963162861
"`5__1136853566`",20.7355064747101
"`5__1189121123`",5.37215218699324
"`3__1644488456`",15.2166662018912
"`6__264812597`",4.33291522118636
"`6__19806307`",13.2516866484268
"`5__1600439141`",10.7469313188845
"`5__1600439210`",10.8226154611109
"`5__1413069435`",14.0031375938186
"`3__547755598`",14.4389775662213
"`3__203093077`",16.0795775509878
"`3__1437513798`",11.9418032031348
"`5__1558888773`",12.7570392434848
"`5__1558892140`",12.4959438192837
"`5__1558891451`",10.4166706055536
"`6__880316995`",5.89288786270506
"`7__1139678099`",100
"`6__782055932`",0
"`6__782055945`",6.25792202886816
"`7__1474629211`",54.9588857609074
"`6__225202386`",2.01599969176291
"`1__567104054`",10.4797797538533
"`2__1658007024`",8.2173042731605
"`2__1059537741`",13.3607825797534
"`4__50115167`",11.0458739310331
"`3__1205456310`",8.23508872939133
"`4__1243532943`",11.6399082989432
"`6__145163095`",7.38946909942675
"`3__711647385`",18.8416506558159
"`3__1271046552`",13.2850038130508
"`6__1328074646`",11.1646002064066
"`3__1194385418`",15.6552066307021
"`5__106362434`",6.78570778218701
"`2__1503253885`",11.7948758055835
"`3__1437513098`",9.44533941104703
"`7__1000593848`",26.4785996154118
"`4__1345196120`",7.66115613885582
"`6__950258794`",12.34136762745
"`7__1210667382`",8.32726057603888
"`7__1210667441`",11.3111005302117
"`7__274172798`",5.32444230694215
"`1__566952149`",9.26824197546624
"`3__1638485321`",10.8203813092428
"`7__163911722`",23.1036125706894
"`5__830274314`",10.1575539637366
"`6__882749202`",5.69571097634049
"`7__69188942`",2.78767956532651
"`7__69189034`",16.7701348643727
"`3__44525972`",9.74398492792234
"`2__1103863156`",7.48934320413567
"`6__1056942177`",6.85352399877637
"`3__1245405497`",7.0302642833924
"`7__957506015`",7.40362081001764
"`3__1271046590`",7.73427797031544
"`6__855697419`",14.4623930283745
"`4__1534243475`",15.1032227688072
"`6__267578708`",3.88681460783195
"`4__476346189`",11.2860339135321
"`3__283489059`",3.62436144957982
"`2__1670463936`",63.5181098783148
"`6__1086427765`",17.1712186933386
"`6__410965883`",20.2956518160142
"`4__1556721019`",4.18095954543677
"`3__1120323870`",19.6770935563207
"`7__1357788073`",14.7423515319765
"`7__1357788101`",8.60357868210985
"`6__1847698`",1.4183372088593
"`7__145575300`",8.82097802848913
"`6__1301840664`",17.0343340194318
"`3__1162657598`",10.8864778054252
"`5__1189121133`",9.34245199202344
"`2__1249671648`",13.2157815876032
"`3__276288358`",12.4732949808118
"`2__1610338484`",16.2966679765119
"`7__836358668`",10.0069582791603
"`3__1648821707`",38.3306872937549
"`3__1205457560`",4.5015329960988
"`4__1243533029`",9.29273463544901
"`5__308974252`",10.4141929821512
"`6__829864305`",8.32457820200389
"`2__1398393179`",9.07505959703423
"`7__571000317`",7.3703065895948
"`1__885154752`",33.6197344223357
"`2__690537141`",2.46115279701896
"`7__854400174`",8.69397651622657
"`2__512514246`",8.32662260134517
"`7__1482227179`",44.8850281164889
"`3__572849943`",22.7639454144584
"`6__395859907`",8.98059768275764
"`2__1139238936`",41.0599715428885
"`2__1670464349`",29.5532545812437
"`3__520755924`",9.76752513546862
"`6__334552159`",25.3621791142202
"`3__1405236907`",8.38125253905006
"`2__1318320369`",9.10287663732527
"`7__978174465`",6.66635337845894
"`6__144808129`",10.948537446991
"`4__11116409`",7.51588417397163
"`1__712261114`",12.1221760191342
"`3__1289923187`",16.2581399394917
"`7__224710466`",18.7458482091573
"`7__1463078159`",33.8143978652122
"`5__1101987452`",10.5689521464165
"`7__1264438474`",13.5461078053626
"`5__19894263`",13.9869473168259
"`4__328778469`",9.83808879262392
"`7__108911274`",7.08418853679929
"`6__178340854`",22.1752986023169
"`2__1503254017`",7.93615999103413
"`4__326301161`",28.0629265742947
"`6__447127289`",11.6290779171866
"`1__289695903`",14.5358130715739
"`1__769818492`",99.7893710433018
"`3__563407168`",9.97542405763699
"`5__777287133`",12.6622340631192
"`3__711647411`",18.1289980122915
"`4__1179347600`",6.9976978344966
"`6__1047816086`",9.02109015837656
