"","Overall"
"`1__712261114`",33.8124856612491
"`6__264812597`",32.7832351372374
"`1__421401176`",100
"`2__1640579492`",51.7981063102674
"`2__859113050`",17.8035717950559
"`1__712261321`",34.2412248647155
"`6__889507002`",36.8603524626429
"`2__859112927`",27.8773333664614
"`2__859112765`",21.1594858508823
"`1__1495696348`",23.8861269912227
"`7__1165578491`",36.429666621046
"`5__1331119430`",37.4717728804265
"`1__1495829230`",28.0617314421444
"`6__730668614`",28.2552913813965
"`3__355775173`",28.136065640476
"`1__340678425`",34.8280317016593
"`1__769818492`",39.3905813004284
"`6__706063153`",24.7028426224995
"`4__1233057252`",37.8456553595784
"`4__1233059173`",40.2972738171293
"`3__19449121`",34.85296532014
"`1__50859833`",30.2723988670787
"`1__712259357`",31.7365439808441
"`1__769818716`",45.865617720736
"`3__711647411`",30.3352541032573
"`6__419219071`",36.2086842530704
"`6__419471713`",20.9833671337586
"`4__641829940`",30.2461708697904
"`4__1233057821`",38.5429582429591
"`6__242454735`",29.6081198137116
"`6__889463823`",26.7772669112792
"`3__700001277`",39.5858152185573
"`1__712259278`",27.6693948004734
"`2__859112903`",36.4096908939598
"`1__769818643`",40.5501072321426
"`4__1388022730`",33.8144616467271
"`5__1331119770`",41.3971038690946
"`6__224269012`",29.5834852506072
"`2__1057907571`",33.6851331730492
"`2__1616245787`",27.0565094808394
"`1__712248417`",27.9521550437579
"`1__712259499`",31.2553145700214
"`6__335156324`",24.6448170857912
"`7__1439038953`",0
"`7__335286832`",35.5441195541623
"`1__712259179`",25.473813038698
"`3__1591405176`",31.7425489234726
"`6__889507085`",25.1290141160049
"`6__889507087`",26.0195546981887
"`3__1400045317`",27.8696676573207
"`3__1400045375`",28.7652380947441
"`1__712238211`",31.5063800172103
"`7__95964130`",31.6666841199784
"`6__463565237`",30.4556934480269
"`2__794030873`",55.2504275908516
"`5__1554460561`",31.7837300246487
"`4__1146103807`",34.9031943918734
"`3__360673477`",38.1893979959565
"`7__974866764`",40.33421289383
"`2__1016760282`",29.5578500383511
"`6__294937748`",45.5193939179966
"`2__794029729`",36.0997618382166
"`4__338117707`",29.0372648526258
"`2__1770069206`",25.6218309126874
"`2__1770066741`",24.7331613745033
"`3__1068046684`",31.1619943507164
"`2__1057907617`",34.9962152341126
"`4__1382371180`",41.766099578572
"`2__818734588`",18.7347312731677
"`2__818734590`",29.6539975582528
"`2__57722316`",33.4294209701346
"`1__365942987`",47.8020895456778
"`1__712250204`",42.2509412229936
"`6__649475001`",39.5400472265839
"`1__440279981`",29.4732104692363
"`7__1481010549`",28.8432058804925
"`1__270917213`",18.1730853653434
"`6__335151095`",22.2648705085983
"`1__304623295`",30.5727762841079
"`1__294297292`",33.3709277195579
"`4__891454154`",51.7563124393326
"`1__712253169`",24.216801461969
"`2__794027027`",57.9091181624754
"`3__711647216`",25.4362007994717
"`3__711647239`",22.8805450749559
"`5__63370887`",37.6200286491819
"`5__1271915826`",35.5406229777247
"`1__1322851416`",22.1541255594277
"`1__569276079`",34.2017168428207
"`1__769998096`",39.7769462916497
"`2__589442893`",23.8067763157501
"`4__327398444`",23.4337161161586
"`5__411206859`",33.7917607290891
"`7__1265253044`",24.9916267143251
"`1__712258624`",35.0815283806819
"`2__857508186`",26.3468514424347
"`2__601056324`",45.9515682244403
"`7__496418086`",27.7978419287183
"`2__26568456`",40.8586778281691
"`6__264812671`",31.098628744684
"`5__1278031316`",32.2093327222734
"`4__326301161`",30.0712603616749
"`3__1394973612`",33.4983791406792
"`5__1278031401`",31.9442158324525
"`1__90727719`",37.7200735069834
"`1__712243210`",24.0290895218196
"`3__349178636`",32.2448469751903
"`6__178340854`",19.4379522725971
"`7__1265252840`",27.8631696240271
"`1__769818529`",37.5132285856173
"`1__769818530`",27.4911819467908
"`7__1393621432`",28.9173342430095
"`7__1047358701`",46.2868138075259
"`1__712241156`",37.6038323212556
"`7__1358232109`",24.8001342448989
"`4__455894167`",49.5279132030639
"`6__419466519`",23.5343428825911
"`1__712261042`",30.0540271770318
"`5__485274971`",28.0554265192064
"`1__296992291`",32.1182458167945
"`6__468973700`",28.5967164763851
"`1__712252528`",26.5125570863313
"`3__39984068`",27.7236960619312
"`6__1241889849`",27.0597130384599
"`3__1606328310`",26.2944916603122
"`6__1102822030`",22.3683564596431
"`6__1076180802`",24.5003874650639
"`7__163911669`",26.0381834346791
"`1__457844974`",20.4240573139404
"`3__304591843`",38.4259158167646
"`4__1274551940`",29.2620785328011
"`3__1391392880`",23.8546058543933
"`6__327449997`",36.6403722842417
"`3__711647385`",30.8197419264749
"`3__1375934075`",31.7772531682384
"`1__712252316`",20.2441970830413
"`6__227681187`",26.3133626580753
"`7__1183587046`",31.6664459475411
"`7__1183587093`",30.0114000252731
"`7__1183587099`",26.0004221448928
"`6__1181590362`",37.8396069257807
"`2__1781411399`",28.0636088359164
"`2__1640579752`",50.7393623031573
"`1__967248437`",40.4225227211939
"`1__454288280`",23.7627782448064
"`3__1391001037`",34.477216144504
"`7__1341453859`",33.3256974932804
"`7__968528985`",31.2160604630092
"`1__357177002`",18.5346368447226
"`3__1648821587`",41.0745997463889
"`6__730701486`",26.1303541612875
"`1__1283059572`",39.125079379278
"`1__455316231`",25.3761031526853
"`7__1341453849`",29.0822010078282
"`3__276288358`",18.7211572717718
"`2__794027041`",52.2532179151923
"`7__1265252471`",28.237724092301
"`5__1519822337`",29.9397827442374
"`6__731410928`",35.1398025487536
"`4__29752456`",21.0962168077135
"`1__712250082`",26.9042112260013
"`3__493104983`",30.884241320963
"`7__496416418`",41.7853141237178
"`7__1474143026`",34.6789199555098
"`7__1357788101`",37.5561158439189
"`7__1357788073`",41.0611592702321
"`2__1783622234`",25.7168793589906
"`2__1783628159`",25.0962262747874
"`2__1783628359`",28.413373068082
"`2__1783629188`",25.541226108429
"`2__1783629235`",25.8354363102452
"`1__430912504`",25.5821575334192
"`6__449042715`",31.0476156853376
"`2__1341471028`",32.6058904033296
"`6__1102822333`",30.0523949588936
"`1__712240530`",24.9964544364247
"`5__1449423985`",36.959618572173
"`6__649475009`",49.7672242551829
"`1__420824849`",47.948652776317
"`3__1645184870`",34.3038935091628
"`2__739831531`",27.6976024543575
"`6__327449900`",38.9749312430136
"`2__1037000173`",42.9362268141541
"`3__1606328658`",32.2360726359113
"`7__1265253031`",26.95462390044
"`7__1265253032`",29.9192920021476
"`7__1042150895`",28.7764003155834
"`1__300739381`",27.9719563602512
"`5__357719030`",29.900019058362
"`2__1749288851`",31.4390109809783
"`7__786958632`",35.1267048361425
"`5__539690381`",34.9493952189851
"`2__1766674010`",32.7223672498982
"`2__1616246276`",24.28352301652
"`1__508135888`",26.0709225877779
"`1__427728227`",36.565067854371
"`6__649475027`",36.9868569670288
"`6__419462224`",22.57411568008
"`1__713592554`",30.2024347227468
"`6__889505930`",25.232193097993
