"","Overall"
"`3__1579692038`",56.5295524941532
"`2__425897169`",37.6060128192656
"`2__1273511262`",25.1036709141937
"`5__1245513533`",20.8134366268743
"`4__1375634014`",63.7916813914203
"`4__235822590`",26.3951993499465
"`4__235822591`",28.1988982331693
"`3__1345462789`",38.3402342965607
"`3__1069491502`",21.2057151885715
"`2__425893297`",50.9738674159199
"`4__1375634035`",31.7752686830841
"`3__511691403`",76.125580166656
"`2__1299119555`",30.1962026444382
"`2__1086446305`",11.1093314734754
"`1__348542906`",15.7299289269471
"`1__167979316`",39.5151900038215
"`7__1106101055`",25.0777207830898
"`1__1190777175`",9.40305278411914
"`1__1190777174`",19.1093081271941
"`3__633179025`",22.0838936787524
"`3__633179163`",18.2351069265793
"`7__1106100437`",21.3141493306306
"`7__1106101976`",23.1128277971131
"`6__1155521805`",14.5021229173014
"`4__987054761`",34.6334126592992
"`7__1039213474`",22.3019422477012
"`2__1179433236`",19.8291028784935
"`6__1136213852`",28.5598282917941
"`3__1455125896`",24.7280580347615
"`2__238011679`",22.590915876581
"`5__264992329`",44.437495286931
"`5__264992456`",41.4840603523073
"`4__209764934`",38.8016831127744
"`3__442453669`",25.2274495649742
"`3__1165096460`",9.47552271926341
"`3__511689574`",18.4367684694579
"`3__511689616`",30.3004348984404
"`3__511691848`",38.8583449624284
"`3__511691917`",26.1618009060289
"`3__511689600`",31.2155768924023
"`5__1069389138`",47.574468694
"`1__701181234`",18.3555695452431
"`5__1208497210`",8.19750387949169
"`4__419216388`",19.958093884135
"`2__426270243`",25.0997028795132
"`7__1106105981`",22.8260005845953
"`5__253617696`",18.612178161535
"`7__1156435179`",14.1613670302725
"`3__633181192`",19.0062367134417
"`1__867912013`",17.4352341831082
"`2__984369730`",15.6192251465569
"`3__633178175`",19.1482301912254
"`4__395514134`",20.2788205757903
"`6__1158656442`",21.8985256692202
"`3__991412807`",19.6437126151776
"`5__253617849`",23.1116579425753
"`2__1179433235`",18.8456215285781
"`4__1011061855`",20.0556978207341
"`2__1154032361`",11.6727058398862
"`2__1154032106`",23.8528027692647
"`7__25646965`",23.2568749962006
"`3__1003008670`",29.0393235056422
"`4__349062928`",22.2472294337227
"`4__237546402`",19.5086176024295
"`5__1320809121`",19.6321150361187
"`1__945020008`",25.6149102678598
"`4__1103791564`",19.2903643864388
"`1__1019053668`",48.503725660659
"`3__825060181`",21.1279427202486
"`5__274137961`",56.9746256348277
"`2__477266519`",12.4883014156707
"`6__76027179`",51.1091148198027
"`7__25647747`",16.2868068150257
"`4__419216578`",14.9810149337095
"`1__1019053684`",71.2490615319173
"`3__1003008890`",30.6316569593153
"`4__50106663`",28.9368133195104
"`7__1106101172`",19.9837090016986
"`1__1190778459`",24.3747890279215
"`3__289278435`",15.45961161109
"`6__805688846`",17.2958443543791
"`1__847532946`",35.2243590578395
"`3__984458349`",36.8862845479574
"`4__415481864`",24.4041779545178
"`7__1219653901`",28.0219570010255
"`1__182826077`",59.6822823650088
"`4__524313151`",68.2358599676433
"`4__550347260`",17.6566571834815
"`4__550347755`",17.9853949641394
"`2__252645954`",48.9486024915751
"`5__1455404648`",31.1605553100218
"`3__1324262756`",22.5505299916752
"`4__1379909668`",35.8781557907583
"`1__521685690`",23.4578775830115
"`4__415481882`",32.603522215359
"`2__621829886`",14.4131799110057
"`3__515842485`",17.6173870182804
"`5__1547388621`",15.4726587409651
"`1__1138437984`",15.693576480204
"`5__1320808968`",18.7559704327944
"`4__1371277676`",23.3703284665683
"`4__349891438`",30.1393173038741
"`5__1133015022`",19.6988487783591
"`4__214385800`",17.1803693376259
"`3__588699309`",21.1112928803164
"`3__547754654`",28.2512569908971
"`1__190465430`",50.2105328470304
"`2__1237221875`",100
"`2__425893567`",39.0917889634121
"`2__1363604165`",18.7275434483855
"`2__427976702`",16.1700963698007
"`5__1547386460`",25.1357015869217
"`3__983112762`",44.7140141820115
"`7__1223886093`",42.5498436431795
"`6__1158658124`",64.8610659809468
"`5__1442038717`",19.8640723806676
"`4__501369119`",51.3894316517417
"`4__173411129`",18.4961884339876
"`7__906789970`",24.1151615328232
"`2__901722605`",18.3768559347196
"`2__1690698722`",22.0567098055902
"`4__185715792`",19.659156519056
"`6__522956059`",26.7899831059963
"`1__487925717`",22.1543805923618
"`2__1573722697`",54.1735720465579
"`3__516647731`",17.4028167739199
"`2__1364242013`",24.3899474807577
"`1__852858389`",32.8125929259918
"`3__1662481017`",16.0595647218344
"`2__1069736617`",17.6703927313583
"`3__511689777`",22.4958727705084
"`5__1045108438`",19.745860421288
"`1__169945231`",18.0397821320529
"`7__363716980`",22.4428453648386
"`7__363716900`",19.7205823936791
"`1__625143836`",68.4426411294041
"`4__457291282`",25.1056831325932
"`6__811621179`",18.5611650109306
"`5__1433571518`",27.6637801321259
"`7__337072462`",18.9486372497174
"`1__1190778462`",24.0635599953092
"`3__1565979391`",21.2446272270024
"`2__1564778761`",19.3572193504709
"`4__709063338`",36.433002492743
"`1__568829620`",18.8225777036176
"`2__427976825`",20.8441670339315
"`6__1324487590`",15.8401296000291
"`3__1324262729`",24.178415306603
"`4__1066050669`",83.4603896058548
"`4__457329952`",26.0078583082003
"`6__169310018`",20.0809025374792
"`6__159794856`",20.1190097171273
"`4__934531194`",20.7836998162079
"`1__1190778529`",24.6980837778397
"`5__1045108439`",19.1217598887948
"`3__1027186152`",22.059866868675
"`5__518885699`",16.8252329231876
"`6__835053244`",27.2553055335985
"`3__1205457702`",59.0706635132147
"`5__1547390785`",15.0476592541997
"`5__1466990392`",23.420439524188
"`1__656239779`",29.794553917515
"`3__1345462446`",20.7978975479502
"`3__1387110151`",0
"`1__1361883155`",27.3412587150894
"`4__635041396`",17.1993009082104
"`6__1297288693`",32.158500076492
"`2__661259118`",11.9722080563064
"`4__108575403`",19.0132820866813
"`4__513477151`",28.0074440815216
"`4__566536477`",24.8029776914495
"`3__1626686172`",28.0308801747122
"`3__983112764`",25.8034970251404
"`5__229896004`",48.2642484552363
"`3__486705727`",17.9927683116575
"`7__847375471`",17.3295860502133
"`2__999222133`",11.9859692094956
"`6__805688870`",28.4790806012139
"`3__511688909`",40.1488371379584
"`3__511691854`",31.8767686394979
"`6__962990631`",32.6202370265648
"`5__1537214788`",9.65896186317391
"`1__1148127360`",38.59894376207
"`3__226118762`",20.1638749881624
"`6__1120642765`",28.6572616121666
"`7__847375476`",17.3148565793363
"`7__891071399`",17.3658883105811
"`3__1024606757`",21.7695158831566
"`6__797671809`",21.2754293647151
